date,type,value
7/4/17,groceries,23.16
7/7/17,groceries,33.59
7/8/17,groceries,7.46
7/8/17,lunch out,16
7/9/17,dinner out,24
7/10/17,groceries,8
7/10/17,lunch out,6.51
7/12/17,groceries,19.11
7/12/17,groceries,7.04
7/13/17,groceries,66.18
7/13/17,groceries,66.18
7/16/17,lunch out,20
7/18/17,groceries,5
7/19/17,coffee,5
7/19/17,lunch out,8.95
7/20/17,groceries,15
7/20/17,groceries,8
7/21/17,lunch out,6.51
7/23/17,groceries,20.14
7/23/17,groceries,10
7/23/17,snack out,0.54
7/30/17,groceries,63.04
7/30/17,groceries,63.04
7/31/17,groceries,4.68
8/2/17,groceries,14.97
8/9/17,lunch out,6.51
8/12/17,groceries,26.45
8/13/17,groceries,7.3
8/14/17,lunch out,10.76
8/15/17,groceries,9.83
8/17/17,groceries,25.92
8/19/17,groceries,53.91
8/21/17,groceries,11.46
8/22/17,groceries,3.39
8/22/17,snack out,1.4
8/30/17,snack out,6.89
8/31/17,groceries,7.64
8/31/17,groceries,8.98
9/2/17,groceries,28.98
9/2/17,groceries,0.9
9/4/17,groceries,17.96
9/5/17,groceries,4.86
9/7/17,groceries,15.65
9/8/17,groceries,6.42
9/8/17,groceries,6.53
9/12/17,groceries,16.5
9/12/17,groceries,11.62
9/12/17,groceries,7.47
9/15/17,groceries,16.12
9/17/17,dinner out,7
9/17/17,groceries,9.98
9/18/17,groceries,18.92
9/19/17,groceries,7.89
9/21/17,groceries,8.05
9/26/17,groceries,10.12
9/27/17,groceries,33.87
9/30/17,groceries,13.24
9/30/17,snack out,7.5
10/1/17,groceries,6.36
10/1/17,groceries,6.3
10/1/17,groceries,9.98
10/2/17,groceries,42.23
10/4/17,dinner out,21.55
10/4/17,groceries,23.18
10/4/17,groceries,34.6
10/4/17,groceries,20
10/6/17,groceries,16.61
10/10/17,lunch out,3.26
10/12/17,groceries,41.88
10/15/17,groceries,10.96
10/16/17,lunch out,3.26
10/16/17,lunch out,9.6
10/18/17,groceries,21.56
10/19/17,groceries,4.68
10/22/17,snack out,2.53
10/23/17,groceries,14.27
10/23/17,groceries,7.72
10/26/17,groceries,16.16
10/27/17,groceries,10.26
10/31/17,groceries,25.42
10/31/17,lunch out,3.26
11/2/17,groceries,42.23
11/2/17,lunch out,15.39
11/4/17,groceries,4.99
11/4/17,lunch out,5.44
11/5/17,coffee,4.36
11/5/17,groceries,21.67
11/9/17,groceries,6.13
11/13/17,groceries,19.34
11/14/17,groceries,3.34
11/14/17,groceries,37.47
11/15/17,groceries,19.02
11/19/17,groceries,22.72
11/20/17,groceries,14.5
11/25/17,booze & red wine,28
11/26/17,groceries,40.03
11/29/17,groceries,5
12/1/17,snack out,5.71
12/2/17,lunch out,31.36
12/4/17,groceries,33
12/4/17,groceries,8
12/4/17,groceries,8.71
12/5/17,dinner out,25
12/6/17,groceries,22.84
12/7/17,groceries,16.96
12/12/17,groceries,1.99
12/12/17,groceries,7
12/13/17,groceries,42
12/16/17,groceries,1.2
12/20/17,groceries,27.75
12/23/17,groceries,3
12/27/17,dinner out,20
12/27/17,groceries,8.68
12/30/17,dinner out,30.35
12/30/17,groceries,34.83
12/30/17,groceries,6.93
1/1/18,groceries,5.91
1/2/18,groceries,28.52
1/3/18,groceries,36.97
1/5/18,lunch out,6.51
1/7/18,groceries,22.94
1/9/18,groceries,22.24
1/13/18,groceries,20.17
1/14/18,groceries,3.89
1/18/18,groceries,25.82
1/20/18,groceries,3.46
1/22/18,groceries,22.01
1/25/18,groceries,60.78
1/28/18,groceries,34
1/29/18,lunch out,25
2/1/18,groceries,46.45
2/2/18,groceries,26.66
2/2/18,lunch out,6.51
2/4/18,groceries,24.21
2/5/18,lunch out,4.6
2/7/18,groceries,24.2
2/8/18,breakfast out,4.67
2/10/18,dinner out,60
2/10/18,groceries,19.98
2/10/18,lunch out,8.67
2/11/18,dinner out,30
